title,date,day_of_week,days_to_rs
"Mullen Automotive Announces It Now Owns Tunica, Mississippi, EV Assembly Plant Free and Clear",2021-11-15,Monday,535
Mullen Automotive Adds New Positions as Business Scales,2021-11-09,Tuesday,541
Mullen Issues Letter to Shareholders on Merger Completion,2021-11-09,Tuesday,541
Mullen Automotive Commences Trading on NASDAQ,2021-11-05,Friday,545
Mullen Automotive Updates Investors on Post Merger Share Count,2021-11-04,Thursday,546
Mullen Automotive Begins Expansion Plans for 1.2M sq. ft. of Additional EV Manufacturing Space,2021-11-02,Tuesday,548
"Net Element Inc., Mullen Automotive Announce Receipt of Conditional Approval to List on Nasdaq Capital Markets",2021-10-31,Sunday,550
Mullen Adds Vehicle Engineering and Homologation Expertise to Drive Efficiency and Decrease Time to Market,2021-10-28,Thursday,553
Mullen Receives Conditional Approval to List on Nasdaq Capital Markets,2021-10-27,Wednesday,554
Mullen FIVE EV Crossover Nominated for Top EV as Part of 2021 LA Auto Show’s ZEVA Awards,2021-10-14,Thursday,567
"Mullen and CCRC Group’s Subsidiary, Tenglong Automotive, Sign Definitive Agreement for Class 1 and Class 2 EV Cargo Vans for Assembly and Sales in US and Mexico Markets",2021-09-21,Tuesday,590
Mullen Provides Shareholder Update,2021-07-28,Wednesday,645
Mullen Set to Rock ’n’ Roll in Memphis,2021-03-18,Thursday,777
"Mullen Technologies Announces Purchase of Advanced Engineering and Manufacturing Center in Tunica, MS",2021-03-11,Thursday,784
Mullen and NexTech Batteries Will Deliver the Most Advanced Lithium Sulfur Battery Technology Available Today,2021-03-08,Monday,787
Former Tesla Lead for Advanced Manufacturing Group Joins Mullen Automotive as VP of EV Manufacturing.,2021-01-21,Thursday,833
"Mullen Technologies Receives Letter of Intent for Purchase Order of 1,500 MX-05 Electric Vehicles",2020-12-30,Wednesday,855
NETE: Q3 2020 Revenues Improve Despite Continued Shutdowns in NY and California,2020-12-15,Tuesday,870
"NETE: Net Element Announces LOI for Reverse Merger With Mullen Technologies, Maker of EVs",2020-11-12,Thursday,903
Mullen Technologies Building SUV facility in California,2020-11-12,Thursday,903
Mullen Technologies is Now Accepting Pre-Orders for its MX-05 Pure Electric All-Wheel Drive SUV,2020-11-01,Sunday,914
Mullen Technologies to Begin Construction of Electric Vehicle Pilot Facility,2020-09-30,Wednesday,946
Mullen Technologies Launches Mullen Funding Corporation for Captive Finance,2020-01-07,Tuesday,1213
Mullen Technologies Adds Engineering and Finance Depth as Business Scales,2019-11-20,Wednesday,1261
Mullen Providing Aerial Coverage and Commercials for Major NFL and NASCAR Events This Weekend,2019-09-27,Friday,1315
Mullen Technologies in Washington DC Presenting EV Initiative to Congressional and Senate Committees,2019-09-26,Thursday,1316
Mullen Technologies Purchases First Northern California Retail Location,2019-09-10,Tuesday,1332
Mullen Technologies to Make Pebble Beach Debut with K50 Electric Luxury Sports Car,2019-08-12,Monday,1361
The Qiantu K50 by Mullen at the 2019 New York City E-Prix,2019-07-13,Saturday,1391
Qiantu K50 by Mullen Wins Governor’s Choice Award at Balboa Bay Club Car Show,2019-06-16,Sunday,1418
Mullen Technologies Backing Up Successful Indy 500 With the 2019 Detroit Grand,2019-06-01,Saturday,1433
Mullen Technologies Indy 500 TV Ad Breaks The Internet,2019-05-27,Monday,1438
Mullen Technologies Purchases Premier Dealership Location in Southern California,2019-05-17,Friday,1448
Mullen Technologies to Produce Qiantu K50 in Washington State,2019-04-29,Monday,1466
Qiantu K50 by Mullen to Debut at the 2019 New York International Auto Show,2019-04-17,Wednesday,1478
Mullen Technologies Presents the American Debut of the Qiantu K50,2019-04-03,Wednesday,1492
The “Future” of Electric Supercars Arrives in the United States,2019-03-23,Saturday,1503
Mullen Technologies & Qiantu Motor Signed Partnership Agreement,2018-12-12,Wednesday,1604
CarHub Now a Subsidiary of Mullen Technologies,2018-10-26,Friday,1651
